step,loss,moving_average_200
430,0.0915,0.0516375
431,0.0675,0.05173
432,0.0402,0.0516475
433,0.0312,0.051557
434,0.0519,0.051608
435,0.0506,0.0512595
436,0.0621,0.0512495
437,0.0804,0.0514795
438,0.0495,0.051321
439,0.0605,0.0513825
440,0.0302,0.051338
441,0.0865,0.051441
442,0.0647,0.051576
443,0.1148,0.0518875
444,0.0596,0.052046
445,0.0251,0.0519875
446,0.0651,0.0519365
447,0.0292,0.051919
448,0.0561,0.0518765
449,0.0641,0.0518485
450,0.0244,0.051578
451,0.0413,0.0514365
452,0.0629,0.0511655
453,0.0541,0.0511915
454,0.0518,0.0512415
455,0.0393,0.051194
456,0.0298,0.0510655
457,0.0524,0.050939
458,0.0698,0.0510645
459,0.0204,0.050954
460,0.0511,0.0510135
461,0.0364,0.050971
462,0.0299,0.050642
463,0.0508,0.050729
464,0.0487,0.050598
465,0.0718,0.0506465
466,0.0462,0.050565
467,0.0254,0.050533
468,0.0367,0.0503945
469,0.0942,0.050581
470,0.0435,0.0505205
471,0.0435,0.0505535
472,0.0626,0.0506565
473,0.0401,0.0505675
474,0.0521,0.050674
475,0.059,0.0507465
476,0.0363,0.050771
477,0.0467,0.0506815
478,0.1035,0.0510785
479,0.0438,0.0511235
480,0.0437,0.051153
481,0.0485,0.0511495
482,0.0272,0.0509065
483,0.0455,0.0509535
484,0.0508,0.0508675
485,0.0436,0.050882
486,0.042,0.0508715
487,0.061,0.0508345
488,0.0571,0.050836
489,0.0368,0.050636
490,0.0475,0.0506415
491,0.0345,0.050553
492,0.0465,0.05062
493,0.0658,0.0507895
494,0.065,0.0509
495,0.0309,0.0508365
496,0.0322,0.0508885
497,0.0177,0.0507385
498,0.0296,0.0507275
499,0.0614,0.0507475
500,0.0576,0.0508
501,0.0554,0.0505315
502,0.0457,0.05052
503,0.0499,0.050496
504,0.0376,0.05041
505,0.0506,0.0504875
506,0.0737,0.050623
507,0.0654,0.0506835
508,0.0486,0.0505895
509,0.0759,0.050832
510,0.0779,0.0508655
511,0.0293,0.0508765
512,0.0367,0.0508175
513,0.0681,0.0508835
514,0.0324,0.050741
515,0.0198,0.0504405
516,0.0324,0.0504125
517,0.0247,0.0503775
518,0.0429,0.0502525
519,0.0506,0.0502955
520,0.0887,0.0503765
521,0.0412,0.05036
522,0.0508,0.0503685
523,0.0352,0.0502325
524,0.0493,0.0503315
525,0.0596,0.050463
526,0.0398,0.05036
527,0.0511,0.050468
528,0.0178,0.0502445
529,0.0504,0.0503125
530,0.0655,0.0504385
531,0.0501,0.0504725
532,0.0606,0.0506025
533,0.07,0.050714
534,0.0534,0.0507235
535,0.0495,0.050837
536,0.0396,0.0507635
537,0.0362,0.05074
538,0.0432,0.050599
539,0.0527,0.0506635
540,0.0471,0.050692
541,0.0335,0.050639
542,0.0615,0.0508715
543,0.0374,0.050762
544,0.0823,0.051025
545,0.0389,0.0509935
546,0.0486,0.0510925
547,0.0281,0.0509935
548,0.0266,0.050792
549,0.0299,0.050455
550,0.033,0.050369
551,0.0388,0.050345
552,0.0365,0.0501545
553,0.0389,0.0501795
554,0.0402,0.05006
555,0.0354,0.0501145
556,0.036,0.049945
557,0.0908,0.050304
558,0.0676,0.0504665
559,0.0327,0.0505125
560,0.0332,0.050275
561,0.0451,0.05003
562,0.0356,0.049792
563,0.0118,0.049324
564,0.0422,0.0493205
565,0.0558,0.049272
566,0.0664,0.0493535
567,0.0472,0.049214
568,0.0471,0.0491535
569,0.035,0.048959
570,0.0186,0.0489075
571,0.063,0.049045
572,0.0706,0.049046
573,0.0295,0.048918
574,0.0496,0.048961
575,0.0352,0.048886
576,0.0586,0.0488995
577,0.097,0.0490515
578,0.0375,0.049083
579,0.0197,0.04909
580,0.0398,0.049131
581,0.0261,0.0489375
582,0.0815,0.0488125
583,0.066,0.0489015
584,0.0501,0.0489185
585,0.022,0.0486745
586,0.0928,0.0489745
587,0.0645,0.0489975
588,0.0316,0.0489405
589,0.0621,0.0488915
590,0.0853,0.049002
591,0.0693,0.04913
592,0.0316,0.049039
593,0.0192,0.048898
594,0.0226,0.048768
595,0.0387,0.0487415
596,0.0364,0.0485825
597,0.0437,0.048637
598,0.0398,0.0484595
599,0.0391,0.0483835
600,0.0698,0.0485345
601,0.0479,0.0486505
602,0.0373,0.0485905
603,0.0748,0.0486835
604,0.0292,0.0485675
605,0.058,0.0486035
606,0.0423,0.048616
607,0.04,0.048598
608,0.0579,0.048773
609,0.0298,0.0487815
610,0.0665,0.048826
611,0.0539,0.048865
612,0.0746,0.04889
613,0.0364,0.0489265
614,0.0314,0.048964
615,0.0444,0.0489305
616,0.0513,0.048712
617,0.0658,0.04868
618,0.0451,0.04866
619,0.0726,0.0488725
620,0.0258,0.048827
621,0.0784,0.049048
622,0.0373,0.0489775
623,0.0417,0.0489925
624,0.0362,0.049021
625,0.041,0.0489175
626,0.0403,0.048898
627,0.0524,0.048901
628,0.0532,0.048917
629,0.0971,0.048968
630,0.0226,0.0486235
631,0.023,0.048401
632,0.0983,0.0486915
633,0.0287,0.048679
634,0.0341,0.04859
635,0.0556,0.048615
636,0.0592,0.0486005
637,0.0387,0.048392
638,0.0661,0.048475
639,0.017,0.0482575
640,0.0216,0.0482145
641,0.0604,0.048084
642,0.0398,0.0479595
643,0.0345,0.047558
644,0.071,0.047615
645,0.047,0.0477245
646,0.0908,0.047853
647,0.0284,0.047849
648,0.062,0.0478785
649,0.0937,0.0480265
650,0.0595,0.048202
651,0.0268,0.0481295
652,0.0291,0.0479605
653,0.0349,0.0478645
654,0.0332,0.0477715
655,0.031,0.04773
656,0.0276,0.047719
657,0.0289,0.0476015
658,0.0676,0.0475905
659,0.0719,0.047848
660,0.0534,0.0478595
661,0.0345,0.04785
662,0.059,0.0479955
663,0.0425,0.047954
664,0.0428,0.0479245
665,0.056,0.0478455
666,0.045,0.0478395
667,0.0607,0.048016
668,0.0299,0.047982
669,0.0431,0.0477265
670,0.0272,0.047645
671,0.0552,0.0477035
672,0.0597,0.047689
673,0.0251,0.047614
674,0.0554,0.0476305
675,0.0512,0.0475915
676,0.0537,0.0476785
677,0.0299,0.0475945
678,0.0504,0.047329
679,0.0482,0.047351
680,0.0404,0.0473345
681,0.0325,0.0472545
682,0.0494,0.0473655
683,0.0428,0.047352
684,0.0224,0.04721
685,0.0714,0.047349
686,0.0292,0.047285
687,0.0427,0.0471935
688,0.0264,0.04704
689,0.0587,0.0471495
690,0.0451,0.0471375
691,0.0515,0.0472225
692,0.0238,0.047109
693,0.0427,0.0469935
694,0.0777,0.047057
695,0.0492,0.0471485
696,0.022,0.0470975
697,0.0506,0.047262
698,0.0494,0.047361
699,0.0446,0.047277
700,0.0794,0.047386
701,0.0203,0.0472105
702,0.0296,0.04713
703,0.0501,0.047131
704,0.0591,0.0472385
705,0.1012,0.0474915
706,0.041,0.047328
707,0.0334,0.047168
708,0.0844,0.047347
709,0.0299,0.047117
710,0.0329,0.046892
711,0.0383,0.046937
712,0.0388,0.0469475
713,0.0399,0.0468065
714,0.0573,0.046931
715,0.0409,0.0470365
716,0.0542,0.0471455
717,0.0444,0.047244
718,0.0714,0.0473865
719,0.071,0.0474885
720,0.0744,0.047417
721,0.0624,0.047523
722,0.0844,0.047691
723,0.0304,0.047667
724,0.0214,0.0475275
725,0.0509,0.047484
726,0.0435,0.0475025
727,0.0369,0.0474315
728,0.0349,0.047517
729,0.0422,0.047476
730,0.0311,0.047304
731,0.0275,0.047191
732,0.0185,0.0469805
733,0.063,0.0469455
734,0.0305,0.046831
735,0.0506,0.0468365
736,0.0084,0.0466805
737,0.0433,0.046716
738,0.0343,0.0466715
739,0.0316,0.046566
740,0.05,0.0465805
741,0.0425,0.0466255
742,0.0379,0.0465075
743,0.0298,0.0464695
744,0.0193,0.0461545
745,0.0449,0.0461845
746,0.0342,0.0461125
747,0.0482,0.046213
748,0.0314,0.046237
749,0.039,0.0462825
750,0.0358,0.0462965
751,0.0554,0.0463795
752,0.0825,0.0466095
753,0.0443,0.0466365
754,0.0183,0.046527
755,0.0371,0.0465355
756,0.0462,0.0465865
757,0.0323,0.046294
758,0.0315,0.0461135
759,0.0316,0.046108
760,0.037,0.046127
761,0.0526,0.0461645
762,0.0689,0.046331
763,0.0436,0.04649
764,0.0825,0.0466915
765,0.0562,0.0466935
766,0.0582,0.0466525
767,0.0315,0.046574
768,0.0266,0.0464715
769,0.0574,0.0465835
770,0.0432,0.0467065
771,0.019,0.0464865
772,0.0396,0.0463315
773,0.0305,0.0463365
774,0.0421,0.046299
775,0.02,0.046223
776,0.0325,0.0460925
777,0.0647,0.045931
778,0.0546,0.0460165
779,0.0466,0.046151
780,0.0326,0.046115
781,0.0575,0.046272
782,0.0568,0.0461485
783,0.0587,0.046112
784,0.0622,0.0461725
785,0.0462,0.0462935
786,0.0395,0.046027
787,0.0536,0.0459725
788,0.0363,0.045996
789,0.0376,0.0458735
790,0.0354,0.045624
791,0.0585,0.04557
792,0.03,0.045562
793,0.0387,0.0456595
794,0.0346,0.0457195
795,0.0483,0.0457675
796,0.0453,0.045812
797,0.0281,0.045734
798,0.0282,0.045676
799,0.0432,0.0456965
800,0.0471,0.045583
801,0.0314,0.0455005
802,0.0249,0.0454385
803,0.072,0.0454245
804,0.0466,0.0455115
805,0.0591,0.045517
806,0.0692,0.0456515
807,0.0455,0.045679
808,0.0333,0.045556
809,0.0288,0.045551
810,0.0316,0.0453765
811,0.0362,0.045288
812,0.0454,0.045142
813,0.0287,0.0451035
814,0.0432,0.0451625
815,0.0548,0.0452145
816,0.0609,0.0452625
817,0.066,0.0452635
818,0.0411,0.0452435
819,0.0968,0.0453645
820,0.0391,0.045431
821,0.0813,0.0454455
822,0.042,0.045469
823,0.0542,0.0455315
824,0.0257,0.045479
825,0.035,0.045449
826,0.0799,0.045647
827,0.0609,0.0456895
828,0.1221,0.046034
829,0.026,0.0456785
830,0.0431,0.045781
831,0.0528,0.04593
832,0.0406,0.0456415
833,0.0514,0.045755
834,0.0567,0.045868
835,0.0307,0.0457435
836,0.0353,0.045624
837,0.0232,0.0455465
838,0.0327,0.0453795
839,0.0358,0.0454735
840,0.047,0.0456005
841,0.0474,0.0455355
842,0.0356,0.0455145
843,0.0329,0.0455065
844,0.0467,0.045385
